num_training_steps,avg_reward
100352,-0.584735097
10240,-1.086566953
12288,-1.103114273
14336,-0.968770547
16384,-1.136952996
18432,-1.042290241
2048,-1.126018718
20480,-1.056389682
22528,-0.957681068
24576,-0.997859888
26624,-0.9019827
28672,-0.744231361
30720,-0.850919976
32768,-0.783505719
34816,-0.876688558
36864,-1.066247151
38912,-0.80749905
4096,-1.129832306
40960,-0.829508317
43008,-0.844626151
45056,-0.898922803
47104,-0.917580001
49152,-0.835635688
51200,-0.87560878
53248,-0.761024194
55296,-0.729524469
57344,-0.751179708
59392,-0.745709449
6144,-1.19082205
61440,-0.685269645
63488,-0.701868502
65536,-0.826017477
67584,-0.542201748
69632,-0.810520087
71680,-0.835671153
73728,-0.783681717
75776,-0.820999893
77824,-0.708054912
79872,-0.623337834
8192,-1.116408208
81920,-0.86449616
83968,-0.761019574
86016,-0.764882458
88064,-0.74722305
90112,-0.718387881
92160,-0.792061146
94208,-0.668877248
96256,-0.683149359
98304,-0.77703142
