num_training_steps,avg_reward
53248,-1.002579377
90112,-1.045763009
28672,-1.097623497
71680,-1.158276625
61440,-1.099605835
30720,-1.10349499
81920,-1.027104552
77824,-1.043293552
45056,-1.073511781
59392,-1.09178045
14336,-1.130336624
92160,-1.077003035
88064,-1.153284244
43008,-1.084859714
49152,-1.061081606
55296,-1.126365885
16384,-1.071469591
6144,-1.163938954
83968,-1.059133073
22528,-1.079274973
24576,-1.057285155
63488,-1.05962699
51200,-1.101409315
32768,-1.151141526
67584,-1.123249849
65536,-1.126764576
94208,-1.164378524
75776,-1.117386306
10240,-1.137966924
73728,-1.150593915
34816,-1.16854465
69632,-1.103645605
86016,-1.102907676
8192,-1.180087175
38912,-1.088871766
26624,-1.144163889
57344,-1.136255995
4096,-1.15392036
98304,-1.172619887
12288,-1.056226349
2048,-1.206408997
36864,-1.072852081
47104,-1.088636403
40960,-1.103513716
20480,-1.084245531
18432,-1.190466441
79872,-1.080756148
100352,-1.046703515
96256,-1.227725163
