num_training_steps,avg_reward,algorithm
1419500.0,-2.2356665346851265,PPO
1155500.0,-3.038719688374307,PPO
1287500.0,-2.3227427164236274,PPO
215000.0,-2.427125918304823,PPO
1040000.0,-0.9523899518747831,PPO
1964000.0,-0.0052242467895897,PPO
1518500.0,-0.0034668121421844,PPO
1815500.0,0.0017752876936504,PPO
264500.0,-0.0289785470177044,PPO
479000.0,-1.4915224256504027,PPO
165500.0,-1.4830742643476824,PPO
1304000.0,-2.503045176850426,PPO
1337000.0,-2.273364578279847,PPO
1370000.0,0.0028991234851323,PPO
1700000.0,-2.5471005043751727,PPO
413000.0,-0.0073523083194879,PPO
1238000.0,-1.1590486439005172,PPO
1667000.0,-2.363326883582918,PPO
1386500.0,0.0014782070901772,PPO
693500.0,-0.008476477853019,PPO
297500.0,-0.008476477853019,PPO
512000.0,-1.4945578231923593,PPO
1716500.0,-2.371779025493319,PPO
957500.0,-0.0033961110575401,PPO
83000.0,-1.780441441395884,PPO
495500.0,-1.4945578231923593,PPO
182000.0,-2.4294408408029127,PPO
1007000.0,-1.643330590208513,PPO
17000.0,-1.494559508502532,PPO
1551500.0,0.0013619514917823,PPO
1980500.0,-0.0205259930018395,PPO
198500.0,-2.429440845179764,PPO
231500.0,-0.0227687120956231,PPO
396500.0,-0.0082166809101639,PPO
990500.0,-0.8878514797644023,PPO
1947500.0,-1.4464138813049232,PPO
726500.0,-0.0084762460846848,PPO
380000.0,-0.0084764778155671,PPO
314000.0,-0.008476477853019,PPO
363500.0,-0.008476477853019,PPO
561500.0,-1.4966913110195974,PPO
611000.0,-0.0085541330518967,PPO
50000.0,-1.6497248585540518,PPO
545000.0,-1.4945578231923593,PPO
1320500.0,-2.546831556204244,PPO
132500.0,-0.0491291505528422,PPO
1634000.0,-2.304170714961596,PPO
281000.0,0.0022566385925558,PPO
1914500.0,-1.4534606439461668,PPO
1881500.0,-1.525559348811348,PPO
1535000.0,0.004423863685107,PPO
66500.0,-2.798020982618687,PPO
1601000.0,-2.503821540553551,PPO
1485500.0,0.0029677567943959,PPO
1898000.0,-1.428372252426216,PPO
446000.0,-0.004237502869904,PPO
33500.0,-1.494557772840058,PPO
792500.0,-0.008476477853019,PPO
1766000.0,-2.6559365020979677,PPO
809000.0,-0.008476477853019,PPO
677000.0,-0.0084886464397476,PPO
1650500.0,-2.148236733504283,PPO
1733000.0,-2.56852879982574,PPO
1683500.0,-2.338020851952501,PPO
1584500.0,0.0021485570544255,PPO
1931000.0,-1.4383487670069828,PPO
1172000.0,-0.0039236537588237,PPO
594500.0,-0.4828179263894741,PPO
149000.0,-2.4294408408029127,PPO
1271000.0,-2.5512535844197908,PPO
500.0,-1.5713258935670416,PPO
660500.0,-0.0081086745866516,PPO
1403000.0,-0.8311378046211211,PPO
1452500.0,-1.5825843229878436,PPO
1089500.0,0.0021613323437414,PPO
1469000.0,0.0022540479972816,PPO
116000.0,-2.396487291566162,PPO
1502000.0,0.0006694291953541,PPO
858500.0,-0.008476477853019,PPO
1848500.0,0.0013359095434853,PPO
710000.0,-0.0020278420968086,PPO
1799000.0,0.0027630469805333,PPO
1782500.0,0.0024699223284721,PPO
429500.0,-0.0073425351700571,PPO
974000.0,-1.5446658259103083,PPO
1832000.0,-2.337427172048828,PPO
347000.0,-0.0078417398637242,PPO
743000.0,-0.008476477853019,PPO
1073000.0,-0.0043348674427676,PPO
891500.0,-0.008476477853019,PPO
1122500.0,0.0015049448678589,PPO
1205000.0,-3.035984254148067,PPO
1188500.0,0.0008899361413398,PPO
875000.0,-0.008476477853019,PPO
842000.0,-0.008476477853019,PPO
1221500.0,-1.6791900251942713,PPO
908000.0,-0.008476477853019,PPO
627500.0,-0.0086460395684322,PPO
1749500.0,-2.507605123984463,PPO
1139000.0,-1.930014362171614,PPO
1353500.0,-1.5708496306605075,PPO
924500.0,-0.0084830271061962,PPO
941000.0,-0.0084237427242109,PPO
759500.0,-0.008476477853019,PPO
1865000.0,0.002359323431126,PPO
1997000.0,-0.8954876822910918,PPO
528500.0,-1.4945578231923593,PPO
2013500.0,0.0039437948033377,PPO
1023500.0,-1.5505034824385118,PPO
462500.0,-0.0061133081220437,PPO
248000.0,-2.4294408408029127,PPO
99500.0,-1.6241795588381711,PPO
578000.0,-1.4991898313382763,PPO
330500.0,-0.0084775149216254,PPO
1254500.0,-2.725348861721847,PPO
1436000.0,0.0010792959404054,PPO
776000.0,-0.008476477853019,PPO
825500.0,-0.008476477853019,PPO
1568000.0,0.0024550299815699,PPO
1617500.0,-0.2986879010225152,PPO
1056500.0,-1.061385304929409,PPO
1106000.0,-0.0034839367773206,PPO
644000.0,-0.0083096201456552,PPO
1155500.0,-1.5748163486815543,A2C
1287500.0,-1.5748163486815543,A2C
215000.0,-2.5667766852970293,A2C
1040000.0,-1.594003528282072,A2C
264500.0,-2.566776683313096,A2C
479000.0,-2.566776683313096,A2C
20500.0,-1.26014704029428,A2C
165500.0,-2.574900067534813,A2C
